driverStandingsId,raceId,driverId,points,position,positionText,wins
73248,1144,815,152.0,8,8,0
73249,1144,832,290.0,5,5,2
73250,1144,844,356.0,3,3,3
73251,1144,847,245.0,6,6,2
73252,1144,846,374.0,2,2,4
73253,1144,1,223.0,7,7,2
73254,1144,857,292.0,4,4,2
73255,1144,4,70.0,9,9,0
73256,1144,840,24.0,13,13,0
73257,1144,855,4.0,20,20,0
73258,1144,825,16.0,15,15,0
73259,1144,817,12.0,17,17,0
73260,1144,852,30.0,12,12,0
73261,1144,848,12.0,16,16,0
73262,1144,807,41.0,11,11,0
73263,1144,839,23.0,14,14,0
73264,1144,842,42.0,10,10,0
73265,1144,822,0.0,22,22,0
73266,1144,858,0.0,23,23,0
73267,1144,860,7.0,18,18,0
73268,1144,861,5.0,19,19,0
73269,1144,859,4.0,21,21,0
73270,1144,862,0.0,24,24,0
